"Toyota Windom" "$ 10 500" https://im.mashina.kg/tachka/images//3/1/b/31b0656db82453d8bdad1b30f490b15c_240x180.jpg "2002 г., 3л., автоматседан, бензинруль справа, 167 000 км"
"Toyota Camry" "$ 16 500" https://im.mashina.kg/tachka/images//7/3/3/733ad3060dd25e397e760daa29c22c10_240x180.jpg "2016 г., 2.5л., автоматседан, бензинруль слева"
"Toyota Land Cruiser" "$ 15 700" https://im.mashina.kg/tachka/images//8/f/8/8f8150fc03f7c3c0665ed465efc82e74_240x180.jpg "2004 г., 4.5л., автоматвнедорожник 5 дв., бензинруль слева, 273 000 км"
"Kia K7" "$ 14 999" https://im.mashina.kg/tachka/images//0/d/e/0de5ef31d0d2b1c2562246c972844e61_240x180.jpg "2014 г., 3л., автоматседан, бензинруль слева, 120 000 км"
"Hyundai Sonata" "$ 17 000" https://im.mashina.kg/tachka/images//4/6/b/46b938a365d89ae9c69daa40423fc243_240x180.jpg "2017 г., автоматседан, газруль слева, 145 000 км"
"Mercedes-Benz CL-класс AMG" "$ 26 000" https://im.mashina.kg/tachka/images//4/6/c/46ca53537b82a6c77493df0975394668_240x180.jpg "2008 г., 6.2л., автоматкупе, бензинруль слева, 193 000 км"
"Toyota Camry" "$ 17 700" https://im.mashina.kg/tachka/images//1/a/b/1ab929b04e0c05f0b0c96ba064b37ee8_240x180.jpg "2015 г., 2.5л., автоматседан, бензинруль слева, 100 000 км"
"Kia Mohave (Borrego)" "$ 66 000" https://im.mashina.kg/tachka/images//6/c/6/6c6e8e0aacbd801283a2e7f42780bd22_240x180.jpg "2021 г., 3л., автоматвнедорожник 5 дв., дизельруль слева, 12 000 км"
"Mercedes-Benz S-класс" "$ 47 599" https://im.mashina.kg/tachka/images//a/1/6/a162fb5f769d06db8df0d178fd43f855_240x180.jpg "2013 г., 4.7л., автоматседан, бензинруль слева, 150 231 км"
"Kia K5 II Седан" "$ 18 200" https://im.mashina.kg/tachka/images//2/f/f/2ff4ef9041474a7949fefb3705084ab3_240x180.jpg "2016 г., 2л., автоматседан, бензинруль слева"
"Chevrolet Malibu" "$ 12 500" https://im.mashina.kg/tachka/images//4/6/d/46d96f7e9ec4a873edab3cf803ed9be0_240x180.jpg "2016 г., 1.5л., автоматседан, бензинруль слева, 170 000 км"
"Toyota Camry" "$ 24 000" https://im.mashina.kg/tachka/images//a/5/4/a542683e4fd9dd3c7bd42ec1c2c891c8_240x180.jpg "2018 г., 2.5л., автоматседан, бензинруль слева"
"Lexus GX" "$ 30 500" https://im.mashina.kg/tachka/images//5/f/9/5f93562bd9e6fec677661948727084d8_240x180.jpg "2007 г., 4.7л., автоматвнедорожник 5 дв., бензинруль слева, 150 000 км"
"Hyundai Sonata" "$ 13 000" https://im.mashina.kg/tachka/images//b/d/2/bd2a1568781877d6f2d4f804be633dbe_240x180.jpg "2016 г., 2л., автоматседан, газруль слева, 114 000 км"
"Kia Sorento" "$ 24 800" https://im.mashina.kg/tachka/images//0/f/8/0f8d1488384c7aed6c8447648c3b9aeb_240x180.jpg "2017 г., 2л., автоматвнедорожник 5 дв., дизельруль слева"
"BMW 5 Серия" "$ 50 000" https://im.mashina.kg/tachka/images//6/4/7/647cfb9cd9e6f1879cbca133eb44b7f4_240x180.jpg "2019 г., 3л., автоматседан, бензинруль слева, 171 000 км"
"Hyundai Palisade" "$ 70 000" https://im.mashina.kg/tachka/images//8/a/0/8a07b8a2e1affd813bf967c81cf2cddb_240x180.jpg "2022 г., 3.8л., автоматвнедорожник 5 дв., бензинруль слева, 5 000 км"
"Toyota Harrier" "$ 21 800" https://im.mashina.kg/tachka/images//b/4/b/b4bd6a50ef037a1e9e1d6cb9df90cd14_240x180.jpg "2005 г., 3.3л., вариаторвнедорожник 5 дв., гибридруль справа, 201 000 км"
"BMW 5 Серия" "$ 38 000" https://im.mashina.kg/tachka/images//8/5/3/8538b2c741ebe5b9be67c5d6d227b7eb_240x180.jpg "2017 г., 2л., автоматседан, бензинруль слева, 82 000 км"
"Mercedes-Benz C-Класс" "$ 6 035" https://im.mashina.kg/tachka/images//3/5/5/3550a3f137032c93000ab4c8589a3981_240x180.jpg "2002 г., 1.8л., механикаседан, бензинруль слева, 350 000 км"
"Mercedes-Benz E-класс" "$ 11 500" https://im.mashina.kg/tachka/images//e/3/0/e305e3f127e770a9e70d8ff4210e01f1_240x180.jpg "2006 г., 3.5л., автоматседан, бензинруль слева, 200 000 км"
"Mercedes-Benz G-класс" "$ 240 000" https://im.mashina.kg/tachka/images//e/f/d/efda593bd1a9d5d32c53da59c9b91a4b_240x180.jpg "2019 г., 4л., автоматвнедорожник 5 дв., бензинруль слева, 25 000 км"
"Toyota Land Cruiser Prado" "$ 23 500" https://im.mashina.kg/tachka/images//7/4/d/74d549e65c79f679f43502c123ec60c1_240x180.jpg "2005 г., 4л., автоматвнедорожник 5 дв., бензинруль слева, 243 000 км"
"Honda Fit" "$ 7 892" https://im.mashina.kg/tachka/images//d/0/1/d01511cd7671c8c55d7b74bda66fe234_240x180.jpg "2007 г., 1.3л., вариаторхэтчбек 5 дв., бензинруль справа, 137 030 км"
"Nissan Maxima" "$ 3 598" https://im.mashina.kg/tachka/images//2/0/9/209c91c8d61296ffa7ff404597282f86_240x180.jpg "1999 г., 3л., автоматседан, бензинруль слева, 163 800 км"
"Lexus NX" "$ 37 000" https://im.mashina.kg/tachka/images//b/2/b/b2b54204e2c12d1ca08c5911c9ea24f4_240x180.jpg "2019 г., 2л., автоматвнедорожник 5 дв., бензинруль слева, 26 000 км"
"Lexus LX" "$ 78 000" https://im.mashina.kg/tachka/images//3/7/2/372770c30c029d792469ba6a454dde6f_240x180.jpg "2015 г., 5.7л., автоматвнедорожник 5 дв., бензинруль слева, 97 000 км"
"Toyota Camry" "$ 10 200" https://im.mashina.kg/tachka/images//c/8/f/c8f2f560008f2dd02d4d9227e80fd86a_240x180.jpg "2006 г., 2.4л., автоматседан, бензинруль слева, 196 895 км"
"Kia Morning" "$ 8 900" https://im.mashina.kg/tachka/images//f/2/f/f2fb97c089f687e2133774735e00423e_240x180.jpg "2016 г., 1л., автоматхэтчбек 5 дв., бензинруль слева, 54 000 км"
"Toyota Land Cruiser Prado" "$ 32 500" https://im.mashina.kg/tachka/images//a/8/f/a8f9734229ef6a9e5beef39a00699d3e_240x180.jpg "2011 г., 3л., автоматвнедорожник 5 дв., дизельруль слева, 256 000 км"
"BMW 7 Серия" "$ 62 000" https://im.mashina.kg/tachka/images//4/8/0/480872bd60de4f88b78266b04f7c8822_240x180.jpg "2016 г., 4.4л., автоматседан, бензинруль слева, 52 000 км"
"BMW 3 Серия" "$ 36 800" https://im.mashina.kg/tachka/images//1/8/9/189c1fb5890ec4e03fd3de0c41667fe5_240x180.jpg "2018 г., 3л., автоматседан, бензинруль слева, 46 000 км"
"Lexus RX" "$ 78 000" https://im.mashina.kg/tachka/images//c/9/e/c9eb503211675d33743da6543371e582_240x180.jpg "2021 г., 3.5л., автоматвнедорожник 5 дв., бензинруль слева, 14 000 км"
"BMW X5 M" "$ 63 000" https://im.mashina.kg/tachka/images//2/4/1/2415fb2cde09601f34db44a34654c7c6_240x180.jpg "2016 г., 4.4л., автоматвнедорожник 5 дв., бензинруль слева, 91 000 км"
"Lexus RX" "$ 15 500" https://im.mashina.kg/tachka/images//e/1/e/e1ec83be74fec168fe92dd0a4bfb0e23_240x180.jpg "2003 г., 3л., автоматвнедорожник 5 дв., бензинруль слева, 184 000 км"
"Land Rover Range Rover Sport" "$ 24 000" https://im.mashina.kg/tachka/images//2/8/b/28b596acb632f4fd01e3a2a1e8cc9002_240x180.jpg "2010 г., 3л., автоматвнедорожник 5 дв., дизельруль слева, 156 000 км"
"Toyota Prius" "$ 24 700" https://im.mashina.kg/tachka/images//d/d/1/dd1cb03600c7b0322e618788d45171de_240x180.jpg "2018 г., 1.8л., автоматхэтчбек 5 дв., гибридруль слева, 112 000 км"
"BMW 5 Серия" "$ 44 000" https://im.mashina.kg/tachka/images//4/6/7/467f8cad6aebcbe4cb59918b48d68318_240x180.jpg "2018 г., 2л., автоматседан, бензинруль слева, 30 000 км"
"Toyota RAV4" "$ 28 500" https://im.mashina.kg/tachka/images//0/a/8/0a895bf9645ce9627d560d5a0b0ddc77_240x180.jpg "2019 г., 2.5л., автоматвнедорожник 5 дв., бензинруль слева, 72 040 км"
"Kia Carnival" "$ 23 500" https://im.mashina.kg/tachka/images//8/a/5/8a592540ab5ee81a84355bfc3ee372e2_240x180.jpg "2016 г., 2.2л., автоматминивэн, дизельруль слева, 136 000 км"
"Lexus NX" "$ 31 500" https://im.mashina.kg/tachka/images//9/e/7/9e740adbc1adfda44923e76781990a3e_240x180.jpg "2015 г., 2л., вариаторвнедорожник 5 дв., бензинруль слева, 100 000 км"
"Honda CR-V" "$ 30 500" https://im.mashina.kg/tachka/images//8/9/9/8995832c98f321dd51502568f90df0fd_240x180.jpg "2020 г., 1.5л., вариаторвнедорожник 5 дв., бензинруль слева, 30 000 км"
"BMW 5 Серия" "$ 7 400" https://im.mashina.kg/tachka/images//b/9/1/b91854bf38fb27e3dd33c729f7cc5a2a_240x180.jpg "1995 г., 2.5л., механикаседан, бензинруль слева, 338 000 км"
"Subaru Legacy" "$ 7 000" https://im.mashina.kg/tachka/images//7/3/4/734b6fdeb2d696f3efac2c5a741c25b4_240x180.jpg "2005 г., 2л., автоматседан, бензинруль справа"
"BMW 4 Серия" "$ 30 000" https://im.mashina.kg/tachka/images//8/f/e/8fe785482df5b3074de8aecc479f969a_240x180.jpg "2017 г., 2л., автоматлифтбек, бензинруль слева, 70 600 км"
"Lexus RX" "$ 85 000" https://im.mashina.kg/tachka/images//f/0/4/f04fe2b4375938eaaa022e05c58305e6_240x180.jpg "2021 г., 3.5л., вариаторвнедорожник 5 дв., гибридруль слева, 8 000 км"
"Toyota Avensis" "$ 7 500" https://im.mashina.kg/tachka/images//b/e/3/be31c50af851b9e2291a222152c3771f_240x180.jpg "2005 г., 1.8л., механикаседан, бензинруль слева, 313 000 км"
"BMW 5 Серия" "$ 8 300" https://im.mashina.kg/tachka/images//4/f/9/4f9ed58289fa6259f423c4b3e38fdd2f_240x180.jpg "1995 г., 4л., механикаседан, бензинруль слева"
"Lexus GX" "$ 35 000" https://im.mashina.kg/tachka/images//2/a/1/2a103e6ab73c66abe431d0ff533633c4_240x180.jpg "2011 г., 4.6л., автоматвнедорожник 5 дв., бензинруль слева, 240 000 км"
"Kia Sorento" "$ 32 900" https://im.mashina.kg/tachka/images//5/5/8/5587ebd896f01d48b6f018594e33d47a_240x180.jpg "2017 г., 2л., автоматвнедорожник 5 дв., дизельруль слева, 87 000 км"
"Mercedes-Benz E-класс" "$ 6 500" https://im.mashina.kg/tachka/images//c/5/9/c59233f0e285b28c544d8da9b29b8767_240x180.jpg "2005 г., 3.5л., автоматседан, бензинруль слева"
"Toyota Camry" "$ 33 000" https://im.mashina.kg/tachka/images//7/f/d/7fd47b78dc8b5af68576192165735169_240x180.jpg "2020 г., 2.5л., автоматседан, бензинруль слева, 35 000 км"
"Toyota Land Cruiser" "$ 27 000" https://im.mashina.kg/tachka/images//c/6/f/c6fcbbe0d795e50d262c5a74c68eaa14_240x180.jpg "2010 г., 4л., автоматвнедорожник 5 дв., бензинруль слева, 160 000 км"
"BYD Yuan" "$
                                                                                                12 500" https://im.mashina.kg/tachka/images//1/a/e/1aec7758a1d6ea53a303adafd85c21da_240x180.jpg "2019 г., автоматвнедорожник 5 дв., электроруль слева, 90 000 км"
"Honda HR-V" "$ 22 500" https://im.mashina.kg/tachka/images//4/4/7/447095bd460fbb892b1cc87ddd776370_240x180.jpg "2019 г., 1.8л., вариаторвнедорожник 5 дв., бензинруль слева, 260 000 км"
"Mercedes-Benz S-класс" "$ 10 800" https://im.mashina.kg/tachka/images//d/4/d/d4d7a3df4a5ab0d02116542e5c5006dd_240x180.jpg "2008 г., 3.5л., автоматседан, бензинруль слева"
"Kia Sportage" "$ 22 500" https://im.mashina.kg/tachka/images//8/3/b/83b9c930aecad92073086271e9a11fe4_240x180.jpg "2018 г., 2л., автоматвнедорожник 5 дв., дизельруль слева, 103 000 км"
"Toyota Camry" "$ 16 900" https://im.mashina.kg/tachka/images//8/f/3/8f3419173679cc4d89136447e5344f5f_240x180.jpg "2013 г., 2.5л., вариаторседан, гибридруль слева, 144 000 км"
"Daewoo Nexia" "$ 4 165" https://im.mashina.kg/tachka/images//7/3/8/738e8177d44645219b0dd4c5a83333d7_240x180.jpg "2012 г., 1.6л., механикаседан, бензинруль слева, 75 255 км"
"Honda M-NV" "$ 26 800" https://im.mashina.kg/tachka/images//5/0/a/50a33644af903754e9be03edefeffcc8_240x180.jpg "2022 г., автоматвнедорожник 5 дв., электроруль слева, 1 км"
"Kia Sorento" "$ 50 000" https://im.mashina.kg/tachka/images//1/8/d/18de7a66eadc90f183519ce2808f050a_240x180.jpg "2020 г., 2.2л., роботвнедорожник 5 дв., дизельруль слева, 45 000 км"
"Honda Civic" "$ 18 300" https://im.mashina.kg/tachka/images//4/4/0/440915acff3698f3ebf87a51d72d88e2_240x180.jpg "2017 г., 2л., вариаторседан, бензинруль слева, 90 000 км"
"Toyota Windom" "$ 10 700" https://im.mashina.kg/tachka/images//6/6/8/668e21948f81f6554e05a3dd1b727101_240x180.jpg "2003 г., 3л., автоматседан, бензинруль справа, 220 000 км"
"Mercedes-Benz E-класс" "$ 10 500" https://im.mashina.kg/tachka/images//4/9/a/49a94a39b798a50fda59a6c30404ff03_240x180.jpg "2005 г., 3.5л., автоматседан, бензинруль слева, 220 000 км"
"Mercedes-Benz E-класс" "$ 35 000" https://im.mashina.kg/tachka/images//1/5/0/15039e5664fb38feb4d0083765c3128a_240x180.jpg "2017 г., 2л., автоматседан, дизельруль слева, 66 000 км"
"Honda M-NV" "$
                                                                                                20 000" https://im.mashina.kg/tachka/images//c/c/6/cc6d2b4613d704b88945a064387e2369_240x180.jpg "2022 г., автоматвнедорожник 5 дв., электроруль слева"
"Lexus ES" "$ 24 500" https://im.mashina.kg/tachka/images//3/c/2/3c206946038adc37496419ab903914c9_240x180.jpg "2013 г., 2.5л., вариаторседан, гибридруль слева"
"Lexus NX" "$ 63 000" https://im.mashina.kg/tachka/images//7/5/5/7553e58b0074434dfa2e663cf0c17185_240x180.jpg "2021 г., 2.5л., вариаторвнедорожник 5 дв., гибридруль слева, 9 000 км"
"Toyota Camry" "$ 22 800" https://im.mashina.kg/tachka/images//3/4/9/34959bbd8553134110e39de7483057bd_240x180.jpg "2015 г., 2.5л., автоматседан, бензинруль слева"
"BMW X5" "$ 42 800" https://im.mashina.kg/tachka/images//a/7/5/a75dbe2bd7cd44c0d67a9667e9beda19_240x180.jpg "2015 г., 3л., автоматвнедорожник 5 дв., бензинруль слева"
"Lexus GX" "$ 26 300" https://im.mashina.kg/tachka/images//b/d/6/bd66b7c26dc74d4588f11838e3ce9d0d_240x180.jpg "2005 г., 4.7л., автоматвнедорожник 5 дв., бензинруль слева, 190 000 км"
"Mercedes-Benz E-класс" "$ 15 200" https://im.mashina.kg/tachka/images//e/0/2/e0212a8eef9481fe7bd27f8d04ce438f_240x180.jpg "2008 г., 3.5л., автоматседан, бензинруль слева, 195 000 км"
"Lexus GX" "$ 32 900" https://im.mashina.kg/tachka/images//6/0/0/60060514a8da05839347762879468019_240x180.jpg "2008 г., 4.7л., автоматвнедорожник 5 дв., бензинруль слева, 123 000 км"
"Honda CR-V" "$ 22 700" https://im.mashina.kg/tachka/images//f/e/f/fef5a4af5d003286bb7f83253cf9f219_240x180.jpg "2016 г., 2.4л., вариаторвнедорожник 5 дв., бензинруль слева, 100 000 км"
"Toyota Camry" "$ 17 000" https://im.mashina.kg/tachka/images//9/0/5/9050c2b0003cc9954d8996bcdf3a0164_240x180.jpg "2017 г., 2.5л., автоматседан, бензинруль слева, 170 000 км"
"Toyota Camry" "$ 24 600" https://im.mashina.kg/tachka/images//a/6/3/a630485db00866f2218e7fea274f40db_240x180.jpg "2018 г., 2.5л., автоматседан, бензинруль слева, 100 000 км"
"BMW 1 Серия" "$ 22 000" https://im.mashina.kg/tachka/images//e/b/6/eb61373665823e258c4205d0b77c649c_240x180.jpg "2008 г., 3л., механикакупе, бензинруль слева, 158 000 км"
"Toyota Prius" "$ 17 500" https://im.mashina.kg/tachka/images//b/b/2/bb24ecb8e681b449adadfec22d2eca09_240x180.jpg "2018 г., 1.8л., вариаторхэтчбек 5 дв., гибридруль слева, 150 000 км"
"Toyota Camry" "$ 15 500" https://im.mashina.kg/tachka/images//5/f/4/5f428369b254c5fafbf0634503f2190b_240x180.jpg "2012 г., 2.5л., автоматседан, бензинруль слева, 114 000 км"
"BMW 5 Серия" "$ 45 000" https://im.mashina.kg/tachka/images//8/b/d/8bd28f5d932dafe4719d5e7f29e6b915_240x180.jpg "2017 г., 3л., автоматседан, бензинруль слева, 93 000 км"
"Mercedes-Benz B-Класс" "$ 11 000" https://im.mashina.kg/tachka/images//e/2/d/e2d442948381f92c648014688330bffb_240x180.jpg "2014 г., 2л., роботхэтчбек 5 дв., бензин / газруль слева, 122 300 км"
"Mercedes-Benz E-класс" "$ 12 500" https://im.mashina.kg/tachka/images//0/1/4/014f30f79b4abedd0124f7d19260fb50_240x180.jpg "2003 г., 3.2л., автоматседан, бензинруль слева"
"BMW X5" "$ 36 500" https://im.mashina.kg/tachka/images//f/9/d/f9d66765d1b6b69116e46f6b70139315_240x180.jpg "2014 г., 4.4л., автоматвнедорожник 5 дв., бензинруль слева"
"Toyota RAV4" "$ 35 800" https://im.mashina.kg/tachka/images//f/8/7/f875798f83661ba0540099a282f1e098_240x180.jpg "2020 г., 2.5л., автоматвнедорожник 5 дв., бензинруль слева, 7 966 км"
"Toyota Camry" "$ 16 900" https://im.mashina.kg/tachka/images//7/5/8/758f452c4102259385899aaa972ab551_240x180.jpg "2016 г., 2.5л., автоматседан, бензинруль слева, 108 000 км"
"Honda Stream" "$ 6 383" https://im.mashina.kg/tachka/images//7/2/5/725e486b16d333aebaf96ec0d2464d38_240x180.jpg "2002 г., 1.7л., автоматкомпактвэн, бензинруль справа, 261 122 км"
"Toyota Sienna" "$ 28 500" https://im.mashina.kg/tachka/images//f/7/b/f7b9e94e70d401bcfea8b32e0c59f604_240x180.jpg "2015 г., 3.5л., автоматминивэн, бензинруль слева, 258 000 км"
"Toyota Camry" "$ 15 100" https://im.mashina.kg/tachka/images//3/f/8/3f85e6916c874b34485323f4c20d42c7_240x180.jpg "2015 г., 2.5л., автоматседан, бензинруль слева, 80 000 км"
"Volkswagen ID.4" "$ 37 100" https://im.mashina.kg/tachka/images//e/0/6/e06b0c35167bfbad8d0e71b1c349dd30_240x180.jpg "2022 г., автоматвнедорожник 5 дв., электроруль слева, 4 000 км"
"BMW X5" "$ 128 000" https://im.mashina.kg/tachka/images//c/1/c/c1c0252d2738c33660a4bbc51660491e_240x180.jpg "2021 г., 4.4л., автоматвнедорожник 5 дв., бензинруль слева, 12 000 км"
"Toyota Avalon" "$ 39 000" https://im.mashina.kg/tachka/images//7/9/7/797363ce2b5aabaa26eb0fa4e6615165_240x180.jpg "2019 г., 2.5л., вариаторседан, гибридруль слева, 70 000 км"
"Toyota Camry" "$ 25 900" https://im.mashina.kg/tachka/images//0/9/a/09a510040ab0248f6f9f0cbb06865c8a_240x180.jpg "2018 г., 2.5л., автоматседан, бензинруль слева, 74 000 км"
"Toyota Sequoia" "$ 20 800" https://im.mashina.kg/tachka/images//3/d/9/3d9cd84fda86c59496441b90da864da5_240x180.jpg "2007 г., 4.7л., автоматвнедорожник 5 дв., бензинруль слева, 230 000 км"
"Toyota Camry" "$ 23 300" https://im.mashina.kg/tachka/images//b/7/8/b78b9348bde0630d3990ca444ed01397_240x180.jpg "2018 г., 2.5л., вариаторседан, гибридруль слева"
"Cadillac Escalade" "$ 24 500" https://im.mashina.kg/tachka/images//2/c/1/2c1d551de58f0d1e80800f7ea4c4c462_240x180.jpg "2006 г., 6.2л., автоматвнедорожник 5 дв., бензинруль слева, 190 000 км"
"Honda Fit" "$ 8 705" https://im.mashina.kg/tachka/images//6/7/b/67b9e04b47ba6c7acdf0cfee505c9183_240x180.jpg "2005 г., 1.5л., вариаторхэтчбек 5 дв., бензинруль справа, 150 000 км"
"Hyundai Tucson" "$ 24 200" https://im.mashina.kg/tachka/images//4/2/e/42e829fd2ba6f35d32031e4b544317b8_240x180.jpg "2017 г., 2л., автоматвнедорожник 5 дв., дизельруль слева, 82 100 км"
"Toyota Camry" "$ 23 000" https://im.mashina.kg/tachka/images//f/d/0/fd0301fdbe4ffdd9b94dc566e648e8be_240x180.jpg "2017 г., 2.5л., автоматседан, гибридруль слева, 100 000 км"
"BMW X5" "$ 37 500" https://im.mashina.kg/tachka/images//8/4/7/84717d872cff31c15163363495bb20f2_240x180.jpg "2016 г., 3л., автоматвнедорожник 5 дв., бензинруль слева, 96 000 км"
"BMW 5 Серия" "$ 48 000" https://im.mashina.kg/tachka/images//d/7/e/d7e3e5e2ab6bd1a7fc4c6f6af719f3be_240x180.jpg "2017 г., 3л., автоматседан, бензинруль слева, 50 000 км"
"Toyota 4Runner" "$ 48 000" https://im.mashina.kg/tachka/images//8/2/4/8243b0101281c88e76d16350896eb435_240x180.jpg "2016 г., 4л., автоматвнедорожник 5 дв., бензинруль слева, 50 000 км"
"Toyota Highlander" "$ 12 800" https://im.mashina.kg/tachka/images//2/2/2/22269ea32cf973f1f0959d354f8fcb46_240x180.jpg "2003 г., 3л., автоматвнедорожник 5 дв., бензинруль слева, 211 300 км"
"Lexus GX" "$ 32 000" https://im.mashina.kg/tachka/images//3/0/8/308bdb60ed6d0065355697f7c523fb70_240x180.jpg "2008 г., 4.7л., автоматвнедорожник 5 дв., бензинруль слева, 195 000 км"
"Nissan X-Trail" "$ 6 000" https://im.mashina.kg/tachka/images//5/1/5/5156df6762663f6259cddf8d11cdbd2a_240x180.jpg "2002 г., 2л., автоматвнедорожник 5 дв., бензинруль справа, 254 806 км"
"Lexus LX" "$ 56 000" https://im.mashina.kg/tachka/images//3/4/4/344343ad96b55b25812ae8aacb7aeb14_240x180.jpg "2012 г., 5.7л., автоматвнедорожник 5 дв., бензинруль слева, 103 000 км"
"Toyota Land Cruiser" "$ 33 400" https://im.mashina.kg/tachka/images//a/1/b/a1b1fe7f91300d5d6bb4bacd2ab953a1_240x180.jpg "2008 г., 4.7л., автоматвнедорожник 5 дв., бензинруль слева, 166 000 км"
"Toyota Corolla" "$ 23 500" https://im.mashina.kg/tachka/images//4/8/9/489c091653f2ccbfda23741478c6d4b5_240x180.jpg "2020 г., 1.8л., вариаторседан, гибридруль слева, 86 000 км"
"Subaru Outback" "$ 22 500" https://im.mashina.kg/tachka/images//8/9/0/890a183f630f881e716a25c3f0a7bbf8_240x180.jpg "2015 г., 2.5л., вариаторуниверсал, бензинруль слева, 96 566 км"
"Ford Explorer" "$ 24 000" https://im.mashina.kg/tachka/images//7/4/4/744b9b87b13eda34b1cb6a3eaf0dcf2b_240x180.jpg "2014 г., 3.5л., автоматвнедорожник 5 дв., бензинруль слева, 140 000 км"
"Mercedes-Benz G-класс" "$ 35 000" https://im.mashina.kg/tachka/images//e/e/9/ee9c040357e9ceb3b0fa0ca212e4dc4a_240x180.jpg "2008 г., 5.5л., автоматвнедорожник, бензинруль слева, 249 000 км"
"Mercedes-Benz G-класс" "$ 25 000" https://im.mashina.kg/tachka/images//f/9/3/f932373dea23d4b59911b69b4e48a20e_240x180.jpg "2006 г., 5л., автоматвнедорожник 5 дв., бензинруль слева, 280 000 км"
"BMW X5" "$ 45 000" https://im.mashina.kg/tachka/images//f/a/3/fa305b184858a4624f317e733af52207_240x180.jpg "2015 г., 3л., автоматвнедорожник 5 дв., бензинруль слева, 65 000 км"
"Honda Fit" "$ 7 544" https://im.mashina.kg/tachka/images//d/f/1/df1c4ef904f51901350d107b0fad4405_240x180.jpg "2003 г., 1.3л., вариаторхэтчбек 5 дв., бензинруль справа, 152 800 км"
